State,City,StationName,StationId,Status
Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",AP001,Active
Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",AP002,Inactive
Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",AP003,Inactive
Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",AP004,Inactive
Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",AP005,Active
Assam,Guwahati,"Railway Colony, Guwahati - APCB",AS001,Active
Bihar,Gaya,"Collectorate, Gaya - BSPCB",BR001,Inactive
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",BR002,Inactive
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",BR003,Inactive
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",BR004,Inactive
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",BR005,Active
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",BR006,Active
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",BR007,Active
Bihar,Patna,"Muradpur, Patna - BSPCB",BR008,Active
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",BR009,Active
Bihar,Patna,"Samanpura, Patna - BSPCB",BR010,Active
Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",CH001,Active
Delhi,Delhi,"Alipur, Delhi - DPCC",DL001,Active
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",DL002,Active
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",DL003,Active
Delhi,Delhi,"Aya Nagar, Delhi - IMD",DL004,Active
Delhi,Delhi,"Bawana, Delhi - DPCC",DL005,Active
Delhi,Delhi,"Burari Crossing, Delhi - IMD",DL006,Inactive
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",DL007,Active
Delhi,Delhi,"DTU, Delhi - CPCB",DL008,Active
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",DL009,Active
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",DL010,Active
Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",DL011,Active
Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",DL012,Active
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",DL013,Active
Delhi,Delhi,"ITO, Delhi - CPCB",DL014,Active
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",DL015,Active
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",DL016,Active
Delhi,Delhi,"Lodhi Road, Delhi - IMD",DL017,Active
Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",DL018,Active
Delhi,Delhi,"Mandir Marg, Delhi - DPCC",DL019,Active
Delhi,Delhi,"Mundka, Delhi - DPCC",DL020,Active
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",DL021,Active
Delhi,Delhi,"Najafgarh, Delhi - DPCC",DL022,Active
Delhi,Delhi,"Narela, Delhi - DPCC",DL023,Active
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",DL024,Active
Delhi,Delhi,"North Campus, DU, Delhi - IMD",DL025,Active
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",DL026,Active
Delhi,Delhi,"Patparganj, Delhi - DPCC",DL027,Active
Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",DL028,Active
Delhi,Delhi,"Pusa, Delhi - DPCC",DL029,Active
Delhi,Delhi,"Pusa, Delhi - IMD",DL030,Active
Delhi,Delhi,"R K Puram, Delhi - DPCC",DL031,Active
Delhi,Delhi,"Rohini, Delhi - DPCC",DL032,Active
Delhi,Delhi,"Shadipur, Delhi - CPCB",DL033,Active
Delhi,Delhi,"Sirifort, Delhi - CPCB",DL034,Active
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",DL035,Active
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",DL036,Active
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",DL037,Active
Delhi,Delhi,"Wazirpur, Delhi - DPCC",DL038,Active
Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",GJ001,Active
Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",GJ002,Inactive
Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",GJ003,Inactive
Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",GJ004,Inactive
Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",GJ005,Inactive
Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",GJ006,Inactive
Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",HR001,Active
Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",HR002,Active
Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",HR003,Active
Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",HR004,Active
Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera - HSPCB",HR005,Active
Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",HR006,Active
Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",HR007,Active
Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",HR008,Active
Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",HR009,Active
Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",HR010,Active
